Date,SKU,MAE
2025-07-07,BEAU-001,1.7571
2025-07-07,OFFC-002,1.1571
2025-07-07,OFFC-001,1.381
2025-07-07,BEAU-002,1.4143
2025-07-07,OUTD-002,1.4381
2025-07-07,MUSC-003,1.2429
2025-07-07,PETS-002,1.6571
2025-07-07,AUTO-003,1.7857
2025-07-07,APPL-002,1.6952
2025-07-07,TOYS-001,1.3143
2025-07-07,TOOL-003,1.481
2025-07-07,APPL-003,0.7571
2025-07-07,TOOL-002,1.5143
2025-07-07,TOOL-001,1.4286
2025-07-07,PETS-003,1.8571
2025-07-07,SPRT-003,1.7
2025-07-07,SPRT-002,1.0381
2025-07-07,SPRT-001,1.2857
2025-07-07,AUTO-002,1.2286
2025-07-07,SOFT-003,1.2429
2025-07-07,SOFT-002,1.1714
2025-07-07,SOFT-001,1.2429
2025-07-07,AUTO-001,1.2952
2025-07-07,TOYS-002,1.0429
2025-07-07,MUSC-002,1.2429
2025-07-07,BEAU-003,1.6571
2025-07-07,GROC-002,1.9238
2025-07-07,GROC-001,0.9333
2025-07-07,CLTH-003,0.9571
2025-07-07,GRDN-003,1.2
2025-07-07,GRDN-002,1.7381
2025-07-07,DIY0-001,1.0714
2025-07-07,GROC-003,2.2
2025-07-07,GRDN-001,1.3238
2025-07-07,FURN-002,1.2714
2025-07-07,DIY0-002,1.5857
2025-07-07,FURN-001,1.3429
2025-07-07,ELEC-003,1.1762
2025-07-07,DIY0-003,1.4619
2025-07-07,ELEC-002,1.0143
2025-07-07,FURN-003,1.619
2025-07-07,MUSC-001,1.1524
2025-07-07,CLTH-002,1.0
2025-07-07,HLTH-002,1.5
2025-07-07,MOVI-003,1.5619
2025-07-07,MOVI-002,1.7238
2025-07-07,BOOK-001,1.1905
2025-07-07,MOVI-001,0.9143
2025-07-07,JWLY-003,1.5714
2025-07-07,JWLY-002,1.2857
2025-07-07,HLTH-001,2.2571
2025-07-07,BOOK-002,1.7952
2025-07-07,HOMK-003,1.619
2025-07-07,BOOK-003,1.6667
2025-07-07,HOMK-002,1.4333
2025-07-07,HOMK-001,0.5952
2025-07-07,JWLY-001,1.1571
2025-07-07,TOYS-003,1.4143
2025-07-07,ELEC-001,1.0
2025-07-08,APPL-001,1.9238
2025-07-08,PETS-001,1.6619
2025-07-08,PCAR-003,1.1286
2025-07-08,PCAR-002,1.3667
2025-07-08,BABY-002,1.3714
2025-07-08,PCAR-001,1.6524
2025-07-08,OUTD-003,1.3
2025-07-08,BABY-001,1.7286
2025-07-08,BABY-003,1.7667
2025-07-08,OUTD-001,1.4
2025-07-08,OFFC-003,0.8143
2025-07-08,BEAU-001,1.7952
2025-07-08,OFFC-002,1.2095
2025-07-08,OFFC-001,1.381
2025-07-08,BEAU-002,1.2286
2025-07-08,OUTD-002,1.6952
2025-07-08,MUSC-003,1.4667
2025-07-08,PETS-002,1.4714
2025-07-08,AUTO-003,1.6571
2025-07-08,APPL-002,1.6952
2025-07-08,TOYS-001,1.1714
2025-07-08,TOOL-003,1.5048
2025-07-08,APPL-003,1.1714
2025-07-08,TOOL-002,1.6667
2025-07-08,TOOL-001,1.1286
2025-07-08,PETS-003,1.4
2025-07-08,SPRT-003,1.619
2025-07-08,SPRT-002,1.1143
2025-07-08,SPRT-001,1.2381
2025-07-08,AUTO-002,1.4714
2025-07-08,SOFT-003,1.5333
2025-07-08,SOFT-002,1.3143
2025-07-08,SOFT-001,1.3857
2025-07-08,AUTO-001,1.0143
2025-07-08,TOYS-002,1.0381
2025-07-08,MUSC-002,1.4762
2025-07-08,BEAU-003,1.5
2025-07-08,GROC-002,1.9286
2025-07-08,GROC-001,1.0905
2025-07-08,CLTH-003,1.0
2025-07-08,GRDN-003,1.4667
2025-07-08,GRDN-002,1.881
2025-07-08,DIY0-001,1.0857
2025-07-08,GROC-003,2.2286
2025-07-08,GRDN-001,1.6619
2025-07-08,FURN-002,1.3714
2025-07-08,DIY0-002,1.2
2025-07-08,FURN-001,1.2619
2025-07-08,ELEC-003,1.3143
2025-07-08,DIY0-003,1.4524
2025-07-08,ELEC-002,0.881
2025-07-08,FURN-003,1.7429
2025-07-08,MUSC-001,1.119
2025-07-08,CLTH-002,0.7095
2025-07-08,HLTH-002,1.5476
2025-07-08,MOVI-003,1.2857
2025-07-08,MOVI-002,1.5571
2025-07-08,BOOK-001,1.1429
2025-07-08,MOVI-001,1.0
2025-07-08,JWLY-003,1.2429
2025-07-08,JWLY-002,1.6905
2025-07-08,HLTH-001,2.1857
2025-07-08,BOOK-002,1.5
2025-07-08,HOMK-003,1.5429
2025-07-08,BOOK-003,1.6429
2025-07-08,HOMK-002,1.6952
2025-07-08,HOMK-001,0.5714
2025-07-08,JWLY-001,1.1905
2025-07-08,TOYS-003,1.319
2025-07-08,ELEC-001,1.0048
2025-07-09,APPL-001,1.6429
2025-07-09,PETS-001,1.8952
2025-07-09,PCAR-003,1.0238
2025-07-09,PCAR-002,1.3571
2025-07-09,BABY-002,1.2286
2025-07-09,PCAR-001,1.6476
2025-07-09,OUTD-003,1.3381
2025-07-09,BABY-001,1.7857
2025-07-09,BABY-003,1.7714
2025-07-09,OUTD-001,1.3857
2025-07-09,OFFC-003,1.0333
2025-07-09,BEAU-001,1.6571
2025-07-09,OFFC-002,1.2095
2025-07-09,OFFC-001,1.3619
2025-07-09,BEAU-002,1.3429
2025-07-09,OUTD-002,1.4476
2025-07-09,MUSC-003,1.5905
2025-07-09,PETS-002,1.4048
2025-07-09,AUTO-003,1.6333
2025-07-09,APPL-002,1.7238
2025-07-09,TOYS-001,1.1
2025-07-09,TOOL-003,1.6524
2025-07-09,APPL-003,1.4
2025-07-09,TOOL-002,1.5143
2025-07-09,TOOL-001,0.9571
2025-07-09,PETS-003,1.381
2025-07-09,SPRT-003,1.5714
2025-07-09,SPRT-002,1.2714
2025-07-09,SPRT-001,1.6
2025-07-09,AUTO-002,1.3762
2025-07-09,SOFT-003,1.6
2025-07-09,SOFT-002,1.1429
2025-07-09,SOFT-001,1.3857
2025-07-09,AUTO-001,1.0
2025-07-09,TOYS-002,0.9714
2025-07-09,MUSC-002,1.7381
2025-07-09,BEAU-003,1.0952
2025-07-09,GROC-002,1.6476
2025-07-09,GROC-001,1.0571
2025-07-09,CLTH-003,0.8619
2025-07-09,GRDN-003,1.3095
2025-07-09,GRDN-002,1.5905
2025-07-09,DIY0-001,0.781
2025-07-09,GROC-003,2.4143
2025-07-09,GRDN-001,1.5286
2025-07-09,FURN-002,1.3333
2025-07-09,DIY0-002,1.4714
2025-07-09,FURN-001,1.2429
2025-07-09,ELEC-003,1.1
2025-07-09,DIY0-003,1.4476
2025-07-09,ELEC-002,0.9714
2025-07-09,FURN-003,2.019
2025-07-09,MUSC-001,1.3
2025-07-09,CLTH-002,0.7143
2025-07-09,HLTH-002,1.5333
2025-07-09,MOVI-003,1.581
2025-07-09,MOVI-002,1.281
2025-07-09,BOOK-001,1.3286
2025-07-09,MOVI-001,0.8714
2025-07-09,JWLY-003,1.319
2025-07-09,JWLY-002,1.6857
2025-07-09,HLTH-001,1.7667
2025-07-09,BOOK-002,1.5048
2025-07-09,HOMK-003,1.3143
2025-07-09,BOOK-003,1.7286
2025-07-09,HOMK-002,1.8476
2025-07-09,HOMK-001,0.7571
2025-07-09,CLTH-001,0.9381
2025-07-09,JWLY-001,1.2381
2025-07-09,TOYS-003,1.3286
2025-07-09,ELEC-001,0.9952
2025-07-10,APPL-001,1.7286
2025-07-10,PETS-001,1.7381
2025-07-10,PCAR-003,1.1429
2025-07-10,PCAR-002,1.2286
2025-07-10,BABY-002,1.5429
2025-07-10,PCAR-001,1.9286
